id gene_short_name num_cells_expressed status term estimate std_err test_val p_value normalized_effect model_component q_value normalization
ENSG00000110721.11 CHKA 121 OK DexTRUE 1.17416238900884 0.164120851136191 7.15425481211097 8.41286682741051e-13 1.67045209073187 count 4.33935670957834e-09 Conventional
ENSG00000111696.11 NT5DC3 65 OK DexTRUE 1.40869169895597 0.24480960433466 5.7542337964415 8.70356349314465e-09 1.9557136742057 count 4.45013201404486e-05 Conventional
ENSG00000111912.19 NCOA7 59 OK DexTRUE -0.81237536894768 0.161435220154068 -5.03220652948208 4.84866501124082e-07 -1.1419378424016 count 0.00246506129171483 Conventional
ENSG00000112541.13 PDE10A 273 OK DexTRUE -0.45965911530826 0.102359416315134 -4.49063830037001 7.10100493521048e-06 -0.660839223746523 count 0.035895579947489 Conventional
ENSG00000113532.12 ST8SIA4 47 OK DexTRUE -0.98940825479383 0.216669894833938 -4.56643160117903 4.96096809477772e-06 -1.37891090081459 count 0.0251024985595753 Conventional
ENSG00000113580.14 NR3C1 209 OK DexTRUE -0.443592164956845 0.0983556891325323 -4.51008140829671 6.48027525042236e-06 -0.636073589048533 count 0.0327707519413859 Conventional
ENSG00000113742.12 CPEB4 97 OK DexTRUE 0.919170318172884 0.145887758269781 6.30053082639818 2.96628008082853e-10 1.30270173877431 count 1.52377807752162e-06 Conventional
ENSG00000115112.7 TFCP2L1 52 OK DexTRUE 2.42032536117755 0.343265140653246 7.05089178753071 1.77774712442808e-12 3.27748944117398 count 9.16428642642675e-09 Conventional
ENSG00000115504.14 EHBP1 365 OK DexTRUE -0.379450075620351 0.0668688185341058 -5.67454433828251 1.39058297963972e-08 -0.545861812668511 count 7.10448844297933e-05 Conventional
ENSG00000115756.12 HPCAL1 110 OK DexTRUE 1.05995353262433 0.148999752028166 7.1137939372138 1.12895671834522e-12 1.50318392355513 count 5.82090083978795e-09 Conventional
ENSG00000115919.14 KYNU 329 OK DexTRUE -0.519723941002647 0.0774254956972411 -6.71256846756186 1.91228024135054e-11 -0.747093840708227 count 9.84250640223123e-08 Conventional
ENSG00000116044.15 NFE2L2 108 OK DexTRUE -0.669253689102588 0.135083201030428 -4.95438132941367 7.25607838714337e-07 -0.953061085229194 count 0.00368681342850755 Conventional
ENSG00000116285.12 ERRFI1 188 OK DexTRUE 1.48606056868368 0.128783917059706 11.5391782033988 8.37212342279062e-31 2.12325288196386 count 4.34513205642833e-27 Conventional
ENSG00000117868.15 ESYT2 197 OK DexTRUE 0.689883422372156 0.11904528615857 5.79513431093125 6.82665250343235e-09 0.987734308305523 count 3.49251542075599e-05 Conventional
ENSG00000118689.14 FOXO3 43 OK DexTRUE 1.71876135211176 0.248164577895537 6.92589315802861 4.33233352133397e-12 2.36787596924857 count 2.23201823019126e-08 Conventional
