Cell hash_umis pval qval top_to_second_best_ratio top_oligo top_hash_umi
B07_B03_RT_17 437 6.22399075222128e-223 4.3567935265549e-222 7.30646929824561 F7 396
B07_B03_RT_21 41 0.160863580732583 0.48259074219775 34 E8 34
B07_B03_RT_23 72 0.170457499323535 0.48259074219775 Inf E8 69
B07_B03_RT_27 251 6.50335688302274e-127 2.60134275320909e-126 8.05104166666667 F7 229
B07_B03_RT_29 196 0 0 Inf B7 190
B07_B03_RT_37 195 2.67029833012158e-280 2.40326849710942e-279 Inf E7 192
B07_B03_RT_38 514 4.6905379382926e-293 4.6905379382926e-292 Inf F7 513
B07_B03_RT_43 426 1.67059904279598e-301 1.83765894707558e-300 Inf D7 424
B07_B03_RT_45 46 5.88541419965825e-214 2.94270709982913e-213 Inf C8 45
B07_B03_RT_51 117 0 0 108.6875 A7 116
B07_B03_RT_52 61 2.10124393760787e-278 1.68099515008629e-277 Inf C8 59
B07_B03_RT_65 101 1.0431638418636e-302 1.25179661023632e-301 Inf B7 98
B07_B03_RT_93 8 0.700565921544765 0.700565921544765 Inf F8 6
B07_C03_RT_1 551 9.73914503316847e-317 1.07130595364853e-315 1.62931706971137 F7 375
B07_C03_RT_11 413 0 0 1.11044912923923 E7 211
B07_C03_RT_18 313 0 0 26.9479708636837 E7 293
B07_C03_RT_23 266 6.73405490081285e-302 6.73405490081285e-301 Inf D7 263
B07_C03_RT_27 390 5.70994394013615e-290 5.13894954612254e-289 Inf C8 375
B07_C03_RT_28 104 0 0 3.62148070907195 A7 73
B07_C03_RT_29 27 4.22647508960565e-58 1.69059003584226e-57 Inf A8 25
B07_C03_RT_30 426 7.23695989692667e-253 5.78956791754133e-252 Inf F7 421
B07_C03_RT_35 27 7.97284651350995e-14 1.59456930270199e-13 11.3962264150943 C8 24
B07_C03_RT_37 27 1.13346648164813e-194 7.93426537153692e-194 50 B8 23
B07_C03_RT_41 16 1.27009853680392e-09 1.27009853680392e-09 Inf C8 16
B07_C03_RT_46 142 2.1147756836904e-76 1.26886541021424e-75 Inf F7 138
B07_C03_RT_62 59 0 0 Inf A7 55
B07_C03_RT_67 45 0 0 515.499999999999 B8 43
B07_C03_RT_80 39 3.87772481687557e-22 1.16331744506267e-21 137.4 C8 36
B07_C03_RT_83 92 0 0 Inf A7 88
B07_C03_RT_92 79 3.3681144554153e-58 1.68405722770765e-57 Inf C8 78
B08_B02_RT_20 30 2.83656789305211e-102 2.83656789305211e-102 17.4580152671756 A8 23
B08_B02_RT_28 125 0 0 16.6964285714286 F7 110
B08_B02_RT_54 97 0 0 Inf E7 95
B08_B02_RT_6 321 0 0 Inf D7 319
B08_B02_RT_65 334 4.94065645841247e-324 1.48219693752374e-323 Inf D7 236
B08_B02_RT_8 254 0 0 Inf C7 253
B08_B02_RT_90 202 0 0 Inf D7 200
B08_B02_RT_93 78 2.62657255796178e-215 5.25314511592357e-215 2.22727272727273 A7 52
B08_B03_RT_12 39 0 0 Inf C8 37
B08_B03_RT_13 425 0 0 Inf F7 421
B08_B03_RT_19 5 2.88226438719003e-14 2.88226438719003e-14 4.7258064516129 F8 3
B08_B03_RT_21 69 8.19799093801774e-151 5.73859365661242e-150 Inf A8 62
B08_B03_RT_26 33 1.62241582637583e-76 6.48966330550331e-76 1450 A8 31
B08_B03_RT_3 906 0 0 Inf D7 906
B08_B03_RT_38 269 1.07602865447069e-138 5.38014327235347e-138 Inf D7 266
B08_B03_RT_41 149 0 0 Inf D8 148
B08_B03_RT_50 231 2.35820448849843e-235 2.12238403964858e-234 Inf F7 230
B08_B03_RT_51 368 0 0 11.5898214963919 D8 324
B08_B03_RT_62 13 1.3501845305311e-31 4.0505535915933e-31 Inf A8 13
B08_B03_RT_65 196 0 0 Inf B7 193
B08_B03_RT_7 321 0 0 Inf C7 320
B08_B03_RT_76 11 2.08815142474379e-28 4.17630284948758e-28 24.3333333333333 F8 6
B08_B03_RT_83 738 0 0 Inf C7 733
B08_B03_RT_91 73 3.99073414366381e-139 2.39444048619829e-138 Inf E8 66
B08_B03_RT_92 31 5.88101224683676e-196 4.70480979746941e-195 Inf B8 30
B08_C03_RT_1 369 0 0 Inf C7 364
B08_C03_RT_2 359 2.02583505085074e-196 2.43100206102089e-195 Inf D7 356
B08_C03_RT_21 49 2.41106945632665e-60 1.20553472816333e-59 2006 A8 46
B08_C03_RT_25 61 1.48441372009008e-69 1.03908960406306e-68 Inf A8 55
B08_C03_RT_29 111 1.20788224642521e-291 1.57024692035277e-290 Inf C8 108
B08_C03_RT_35 17 7.92695377892656e-06 7.92695377892656e-06 3.5 C8 7
B08_C03_RT_37 62 4.80416447930149e-77 3.84333158344119e-76 Inf A8 58
B08_C03_RT_44 1177 0 0 Inf D7 1138
B08_C03_RT_45 337 0 0 4.3758456028651 F7 257
B08_C03_RT_51 15 1.19035340793808e-49 4.76141363175231e-49 12 B8 9
B08_C03_RT_60 61 8.16547010494064e-127 8.16547010494064e-126 585.058823529411 E8 54
B08_C03_RT_66 37 1.05574685977289e-86 9.501721737956e-86 Inf E8 35
B08_C03_RT_73 356 0 0 Inf A7 353
B08_C03_RT_74 64 9.96806129275017e-152 1.09648674220252e-150 Inf E8 60
B08_C03_RT_85 10 1.32844206733713e-11 2.65688413467425e-11 25.3333333333333 F8 4
B08_C03_RT_88 14 6.85669619938266e-14 2.0570088598148e-13 Inf A8 13
B08_C03_RT_91 46 3.02076958206273e-65 1.81246174923764e-64 5.86220472440945 C8 33
B09_B02_RT_19 169 0 0 159.571428571429 C7 167
B09_B02_RT_21 42 0 0 Inf B8 40
B09_B02_RT_3 314 0 0 Inf D7 313
B09_B02_RT_35 15 1.63828386686568e-264 3.27656773373135e-264 13.8351648351648 A8 14
B09_B02_RT_4 17 0 0 59.1014492753623 E8 15
B09_B02_RT_43 174 0 0 Inf D8 169
B09_B02_RT_53 23 0 0 22.656 A8 21
B09_B02_RT_60 230 0 0 Inf D7 227
B09_B02_RT_67 11 8.09205341925892e-42 8.09205341925892e-42 2.84008528784648 A8 5
B09_B02_RT_70 89 0 0 Inf B7 88
B09_B02_RT_76 96 0 0 Inf D8 96
B09_B02_RT_79 33 0 0 Inf C8 33
B09_B02_RT_82 261 0 0 Inf C7 258
B09_B02_RT_85 407 0 0 Inf D7 405
B09_B02_RT_9 142 0 0 Inf E7 139
B09_B02_RT_93 230 0 0 Inf D8 227
B09_B03_RT_11 83 4.65760771359456e-148 1.25755408267053e-146 1.7444089456869 A7 47
B09_B03_RT_13 69 3.87503868027323e-98 8.91258896462844e-97 Inf F7 67
B09_B03_RT_21 104 0 0 Inf D8 97
B09_B03_RT_22 66 0 0 Inf A7 65
B09_B03_RT_23 10 0.104272535795721 0.834180286365765 13.3333333333333 B8 8
B09_B03_RT_25 9 3.91155833730145e-33 5.08502583849188e-32 Inf A8 8
B09_B03_RT_26 37 7.91296575314352e-55 1.18694486297153e-53 Inf F7 37
B09_B03_RT_27 18 0.90397945685713 1 Inf B8 15
B09_B03_RT_3 22 8.70173535386012e-46 1.21824294954042e-44 Inf C8 21
B09_B03_RT_30 2 0.395017537635337 1 1.31578947368421 B8 1
B09_B03_RT_36 13 0.6565732309096 1 8 B8 8
B09_B03_RT_43 276 2.28954652509321e-264 6.63968492277031e-263 6.34967741935484 C7 241
B09_B03_RT_49 12 0.629483831337763 1 Inf B8 11
B09_B03_RT_5 62 3.77202938516421e-77 6.41244995477916e-76 Inf F7 57
B09_B03_RT_50 88 8.99106483277705e-232 2.51749815317757e-230 2.5828677839851 D8 59
B09_B03_RT_53 147 1.01272274055568e-138 2.63307912544477e-137 53.5283018867925 C7 137
B09_B03_RT_54 18 0.0582674993288428 0.524407493959585 57.1428571428571 B8 16
B09_B03_RT_58 35 1 1 Inf B7 35
B09_B03_RT_6 33 5.74731519128194e-29 6.89677822953833e-28 Inf C7 31
B09_B03_RT_61 6 4.73288206069022e-11 5.20617026675925e-10 Inf A8 4
B09_B03_RT_65 24 2.02684110229853e-89 4.25636631482692e-88 19.04 D8 20
B09_B03_RT_66 441 2.74161845496821e-93 6.03156060093005e-92 1.11173184357542 E7 182
B09_B03_RT_71 16 6.42389504642592e-79 1.15630110835667e-77 Inf A8 16
B09_B03_RT_73 2 0.629483831337763 1 1.47058823529412 F8 1
B09_B03_RT_75 14 0.619355525239704 1 Inf B8 11
B09_B03_RT_76 1 0.00113935117894747 0.0113935117894747 Inf D8 1
B09_B03_RT_77 43 1.64973657243745e-130 4.12434143109362e-129 1.42823529411765 A8 26
B09_B03_RT_79 25 3.25074088963466e-89 6.50148177926932e-88 2.42857142857143 A8 18
B09_B03_RT_81 70 4.11165625779585e-105 9.86797501871003e-104 60.6 F7 69
B09_B03_RT_91 20 3.38540793950422e-61 5.41665270320675e-60 Inf A8 16
B09_B03_RT_92 74 1.47174986443874e-85 2.7963247424336e-84 9.12582781456954 F7 64
B09_C03_RT_11 56 0 0 Inf C8 53
B09_C03_RT_25 57 8.97778149963617e-270 8.08000334967255e-269 Inf A8 53
B09_C03_RT_27 668 0 0 Inf F7 661
B09_C03_RT_30 303 2.05077248381969e-254 1.64061798705575e-253 Inf D7 302
B09_C03_RT_32 8 3.76886528010317e-17 3.76886528010317e-17 Inf B8 8
B09_C03_RT_35 335 0 0 3.02554196179438 C7 227
B09_C03_RT_39 30 7.29259002234271e-242 5.1048130156399e-241 Inf E8 28
B09_C03_RT_43 165 9.95856408085114e-299 9.95856408085114e-298 Inf F7 164
B09_C03_RT_48 431 0 0 28.2296865003199 D7 410
B09_C03_RT_49 175 1.00295326105773e-321 1.1032485871635e-320 Inf D8 175
B09_C03_RT_53 117 3.05302531980842e-59 9.15907595942526e-59 Inf E7 114
B09_C03_RT_60 824 0 0 235.648648648648 E7 731
B09_C03_RT_67 266 2.28413027191207e-224 1.37047816314724e-223 Inf D7 266
B09_C03_RT_8 337 0 0 Inf A7 333
B09_C03_RT_83 154 1.59392473126949e-82 6.37569892507796e-82 Inf E7 152
B09_C03_RT_90 31 5.31158789997729e-115 2.65579394998864e-114 140.875 A8 26
B09_C03_RT_92 95 2.41516843966386e-49 4.83033687932771e-49 Inf E7 94
B10_B02_RT_11 38 2.09549011150061e-225 8.38196044600244e-225 119.987951807229 B8 33
B10_B02_RT_12 553 0 0 Inf D7 550
B10_B02_RT_2 506 0 0 Inf D7 503
B10_B02_RT_26 11 1.70799365430342e-46 1.70799365430342e-46 7.71704180064309 B8 8
B10_B02_RT_27 280 0 0 Inf D8 275
B10_B02_RT_28 29 1.14715852343818e-263 5.73579261719089e-263 23.5337620578778 A8 24
B10_B02_RT_40 86 0 0 Inf C7 86
B10_B02_RT_43 155 1.96942228240191e-61 3.93884456480381e-61 3.73345454545455 B8 37
B10_B02_RT_5 692 0 0 Inf C7 440
B10_B02_RT_61 26 7.47990990540314e-285 4.48794594324188e-284 96.5000000000001 A8 24
B10_B02_RT_85 92 4.18543130028104e-199 1.25562939008431e-198 Inf C8 88
B10_B02_RT_93 56 0 0 Inf B8 53
B10_C03_RT_12 715 1.31536333148353e-108 5.26145332593414e-108 Inf D7 710
B10_C03_RT_16 9 1.98442595608043e-67 5.95327786824129e-67 Inf B8 9
B10_C03_RT_2 64 0 0 2.24301675977654 C8 42
B10_C03_RT_20 15 1.87099843716957e-25 3.74199687433913e-25 6.55405405405405 F8 10
B10_C03_RT_25 199 0 0 Inf C7 195
B10_C03_RT_3 153 0 0 Inf F7 151
B10_C03_RT_32 9 2.97659269031794e-15 2.97659269031794e-15 Inf E8 9
B10_C03_RT_33 54 0 0 Inf D8 52
B10_C03_RT_4 158 0 0 Inf F7 154
B10_C03_RT_42 222 0 0 Inf E7 220
B10_C03_RT_5 33 2.27452195929664e-200 1.36471317557798e-199 Inf B8 29
B10_C03_RT_62 120 2.59203822475451e-261 2.07363057980361e-260 3.47540983606557 E7 90
B10_C03_RT_69 116 0 0 Inf B7 113
B10_C03_RT_7 146 0 0 Inf C7 144
B10_C03_RT_78 32 5.09588915684733e-255 3.56712240979313e-254 Inf B8 32
B10_C03_RT_83 709 8.17722084730621e-110 4.08861042365311e-109 Inf D7 707
B11_B02_RT_1 268 3.81452994737607e-275 5.3403419263265e-274 Inf C7 267
B11_B02_RT_11 180 2.4653201002944e-178 2.71185211032384e-177 Inf D8 173
B11_B02_RT_13 135 0 0 Inf A7 133
B11_B02_RT_15 40 6.62155247540431e-94 5.95939722786388e-93 Inf E8 38
B11_B02_RT_18 26 1.99239111846236e-55 1.19543467107741e-54 71.5428571428571 E8 24
B11_B02_RT_19 36 1.45105382413606e-72 1.01573767689524e-71 43.2207792207792 E8 32
B11_B02_RT_20 328 0 0 7.18759455370651 F7 290
B11_B02_RT_28 345 0 0 Inf C7 344
B11_B02_RT_3 28 8.78109966729809e-51 4.39054983364904e-50 Inf B8 27
B11_B02_RT_43 220 6.12116519023834e-229 7.95751474730984e-228 Inf D8 215
B11_B02_RT_45 14 5.6233536188415e-14 5.6233536188415e-14 25.0681818181818 B8 11
B11_B02_RT_5 42 4.21591795652131e-100 4.21591795652131e-99 3.24820512820513 E8 31
B11_B02_RT_50 24 1.20067306825723e-33 3.60201920477169e-33 Inf B8 21
B11_B02_RT_57 17 4.52872329227522e-36 1.81148931691009e-35 Inf E8 16
B11_B02_RT_67 214 1.61845064454088e-219 1.94214077344905e-218 Inf D8 208
B11_B02_RT_69 622 0 0 75.2708618331053 D7 575
B11_B02_RT_86 354 0 0 Inf D7 332
B11_B02_RT_91 32 1.19224104176517e-77 9.53792833412133e-77 179.588235294118 C8 29
B11_B02_RT_92 17 8.41227378553253e-31 1.68245475710651e-30 Inf E8 15
B11_B03_RT_2 188 8.2065861373963e-187 6.56526890991704e-186 Inf C7 186
B11_B03_RT_27 9 0.00821319202718806 0.00821319202718806 1.23308270676692 F8 4
B11_B03_RT_28 500 0 0 1.66276346604215 D7 340
B11_B03_RT_30 26 2.88793355163898e-43 5.77586710327797e-43 Inf C8 25
B11_B03_RT_36 445 0 0 42.3532934131737 C7 421
B11_B03_RT_42 20 2.91087883694387e-150 1.45543941847193e-149 Inf E8 19
B11_B03_RT_51 217 1.53348948280778e-181 1.07344263796544e-180 Inf D7 214
B11_B03_RT_61 20 5.56530587801232e-134 2.22612235120493e-133 Inf B8 18
B11_B03_RT_69 339 0 0 Inf C7 339
B11_B03_RT_7 307 1.4877319848601e-167 8.9263919091606e-167 Inf E7 302
B11_B03_RT_74 20 2.89241019423872e-104 8.67723058271617e-104 Inf E8 16
B11_B03_RT_85 112 0 0 Inf A7 108
B11_C03_RT_2 865 2.9583723375272e-204 1.77502340251632e-203 3.04880439043512 F7 470
B11_C03_RT_27 31 3.7284752854382e-138 1.8642376427191e-137 Inf E8 29
B11_C03_RT_29 85 2.94851354175596e-290 2.06395947922917e-289 Inf E7 85
B11_C03_RT_35 6 6.02932121634156e-60 1.20586424326831e-59 Inf F8 6
B11_C03_RT_38 253 0 0 7.99592169657422 D8 210
B11_C03_RT_46 159 6.90241208078346e-132 2.76096483231338e-131 Inf F7 157
B11_C03_RT_6 8 2.34358473999218e-29 2.34358473999218e-29 9.07272727272727 F8 5
B11_C03_RT_82 243 1.64429343192917e-93 4.9328802957875e-93 Inf D7 241
B11_C03_RT_90 196 3.88575888136108e-307 3.10860710508886e-306 Inf A7 194
B11_C03_RT_93 789 0 0 Inf F7 786
B12_B02_RT_12 63 0 0 4.03923400280243 B8 48
B12_B02_RT_21 6 2.85155979626726e-15 8.55467938880179e-15 1.98861480075901 E7 2
B12_B02_RT_24 689 0 0 Inf D7 686
B12_B02_RT_36 231 0 0 2.00919261355978 D7 160
B12_B02_RT_40 179 0 0 Inf C7 179
B12_B02_RT_43 276 0 0 Inf E7 275
B12_B02_RT_46 57 0 0 323 B7 56
B12_B02_RT_5 29 0 0 9.23529411764706 E8 25
B12_B02_RT_52 24 1.21311173225212e-32 4.85244692900849e-32 23.5296703296703 D7 22
B12_B02_RT_59 47 0 0 38.3176043557169 B8 39
B12_B02_RT_61 81 0 0 647.738461538461 A7 77
B12_B02_RT_76 67 0 0 94.5 B8 61
B12_B02_RT_82 69 0 0 28.0161420500404 B8 64
B12_B02_RT_83 14 9.76791447126954e-12 1.95358289425391e-11 2.78282828282828 F8 5
B12_B02_RT_85 200 0 0 194.733212341198 E7 198
B12_B02_RT_86 30 0 0 48.7395498392283 C8 28
B12_B02_RT_88 310 0 0 274.805807622505 D7 308
B12_B02_RT_91 16 0.401077024937817 0.401077024937817 Inf A8 15
B12_B03_RT_28 235 2.09318418802024e-136 8.37273675208097e-136 Inf D7 232
B12_B03_RT_34 354 0 0 Inf E7 354
B12_B03_RT_36 419 7.26462236776583e-245 4.3587734206595e-244 4.53064723531933 D7 353
B12_B03_RT_44 53 2.16887132696034e-140 1.08443566348017e-139 Inf B7 52
B12_B03_RT_54 11 4.21636211886396e-11 4.21636211886396e-11 Inf A8 10
B12_B03_RT_6 200 0 0 Inf C7 199
B12_B03_RT_67 118 5.30553969361967e-315 3.71387778553377e-314 Inf B7 115
B12_B03_RT_71 18 4.718145983911e-25 9.43629196782199e-25 Inf A8 18
B12_B03_RT_75 186 1.19794631396474e-130 3.59383894189421e-130 19.4160583941606 E7 154
B12_C03_RT_1 223 1.62694977928153e-86 1.30155982342523e-85 1.87099316868103 E7 165
B12_C03_RT_13 97 9.31454017472381e-61 6.52017812230667e-60 Inf D7 94
B12_C03_RT_21 150 9.90939159904317e-50 5.9456349594259e-49 Inf E7 146
B12_C03_RT_22 197 0 0 Inf B7 190
B12_C03_RT_25 517 0 0 Inf F7 515
B12_C03_RT_35 15 2.20439905866801e-29 6.61319717600402e-29 32.9285714285714 E8 9
B12_C03_RT_36 437 0 0 Inf D8 432
B12_C03_RT_4 31 1.07836571535794e-28 2.15673143071587e-28 Inf C8 29
B12_C03_RT_43 21 1.24649811319255e-08 1.24649811319255e-08 4.95833333333333 C8 14
B12_C03_RT_44 157 1.1942621381998e-181 1.43311456583976e-180 Inf C8 152
B12_C03_RT_6 492 1.67854274549069e-158 1.84639702003976e-157 Inf E7 462
B12_C03_RT_61 298 0 0 Inf A7 296
B12_C03_RT_62 194 0 0 Inf C7 189
B12_C03_RT_80 350 3.23484795550884e-100 2.91136315995796e-99 Inf E7 317
B12_C03_RT_82 44 2.02392908911922e-37 8.09571635647689e-37 88.4333333333333 C8 39
B12_C03_RT_85 8 4.06559407384715e-148 4.06559407384715e-147 9.83673469387755 F8 6
B12_C03_RT_93 15 1.19574434847496e-47 5.97872174237479e-47 24.6896551724138 A8 14
C01_B02_RT_14 20 1.08510693946074e-11 5.42553469730371e-11 Inf C8 19
C01_B02_RT_20 16 3.71975296149037e-07 1.48790118459615e-06 Inf C8 14
C01_B02_RT_24 50 3.6371859339079e-87 5.45577890086185e-86 Inf C7 49
C01_B02_RT_26 12 1.132296515515e-05 3.39688954654499e-05 Inf C8 11
C01_B02_RT_27 9 1 1 Inf E8 9
C01_B02_RT_28 12 1.79628447557898e-57 1.79628447557898e-56 Inf B8 11
C01_B02_RT_32 152 1.0398419318687e-118 1.97569967055053e-117 3.89635854341737 F7 113
C01_B02_RT_35 48 7.41554241606514e-62 8.89865089927817e-61 Inf F7 48
C01_B02_RT_4 14 7.18335591955006e-82 9.33836269541508e-81 Inf A8 14
C01_B02_RT_41 78 6.8738966717596e-58 7.56128633893556e-57 16.1764705882353 D7 68
C01_B02_RT_45 63 1.28616039052608e-82 1.80062454673651e-81 Inf A7 63
C01_B02_RT_5 44 5.83086122374667e-40 4.66468897899733e-39 Inf D7 43
C01_B02_RT_53 14 6.15483212007497e-13 3.69289927204498e-12 Inf A7 13
C01_B02_RT_6 34 1.88604763633949e-56 1.69744287270554e-55 Inf C7 33
C01_B02_RT_66 66 1.0432971045531e-113 1.87793478819558e-112 Inf E7 64
C01_B02_RT_8 71 1.54714120264014e-127 3.09428240528028e-126 Inf C7 70
C01_B02_RT_81 18 1.11577923474081e-106 1.89682469905938e-105 Inf A8 18
C01_B02_RT_9 37 3.84271932091384e-14 2.68990352463969e-13 1.56944444444444 A7 20
C01_B02_RT_92 88 3.9353355035682e-89 6.29653680570913e-88 Inf D7 88
C01_B02_RT_93 11 5.63718164906278e-05 0.000112743632981256 Inf C8 10
C01_B03_RT_0 286 0 0 6.58023019634394 D8 213
C01_B03_RT_14 263 0 0 Inf D7 256
C01_B03_RT_19 93 0 0 Inf B7 91
C01_B03_RT_2 16 2.39957454009871e-59 4.79914908019742e-59 8.51219512195122 F8 7
C01_B03_RT_26 80 6.46699762015827e-127 2.58679904806331e-126 41.7260273972603 C8 66
C01_B03_RT_28 95 3.36262183853726e-211 2.35383528697609e-210 Inf C8 91
C01_B03_RT_29 25 5.14024775242754e-161 2.57012387621377e-160 45.2580645161291 F8 14
C01_B03_RT_34 201 6.21765989417927e-243 4.97412791534342e-242 Inf A7 194
C01_B03_RT_35 521 0 0 Inf E7 519
C01_B03_RT_36 579 0 0 3.53313840155945 F7 405
C01_B03_RT_38 537 0 0 1.03751090433265 D8 252
C01_B03_RT_40 35 1.13372505701904e-36 1.13372505701904e-36 78.3125 A8 28
C01_B03_RT_42 308 0 0 Inf F7 303
C01_B03_RT_51 59 2.03009978920338e-77 6.09029936761013e-77 Inf A8 51
C01_B03_RT_56 251 6.78594017673429e-300 6.10734615906086e-299 Inf E7 249
C01_B03_RT_62 42 0 0 222 E8 40
C01_B03_RT_66 95 1.00077409761032e-171 6.00464458566194e-171 Inf B8 93
C01_B03_RT_70 46 0 0 Inf E8 43
C01_B03_RT_86 216 0 0 Inf D7 215
C01_B03_RT_91 257 0 0 Inf C7 249
C01_C03_RT_21 678 0 0 1.13327922809865 F7 343
C01_C03_RT_29 363 3.41462961659488e-135 1.36585184663795e-134 Inf D7 356
C01_C03_RT_34 221 0 0 Inf A7 215
C01_C03_RT_35 77 3.18555255644378e-234 2.54844204515503e-233 Inf C8 69
C01_C03_RT_4 56 5.21634444275223e-136 2.60817222137612e-135 Inf B8 50
C01_C03_RT_40 276 0 0 Inf F7 272
C01_C03_RT_45 515 0 0 23.3102119460501 D8 479
C01_C03_RT_55 16 9.773439213902e-42 1.9546878427804e-41 15.2696629213483 B8 15
C01_C03_RT_58 50 3.304204649012e-123 9.91261394703599e-123 86.4893617021276 B8 45
C01_C03_RT_6 16 2.36785470942648e-18 2.36785470942648e-18 Inf C8 10
C01_C03_RT_61 561 9.18620913055623e-277 8.26758821750061e-276 8.84404924760602 F7 336
C01_C03_RT_67 724 3.01726984937478e-288 3.31899683431225e-287 Inf D7 719
C01_C03_RT_70 664 1.76498493802046e-174 1.23548945661432e-173 1.66326030085023 C7 309
C01_C03_RT_76 458 0 0 Inf C7 455
C01_C03_RT_84 700 5.68289001839712e-282 5.68289001839712e-281 Inf D7 698
C01_C03_RT_91 45 3.14209198745233e-154 1.8852551924714e-153 Inf C8 43
C02_B02_RT_11 240 0 0 6.36363636363636 D8 190
C02_B02_RT_13 228 5.75896325199461e-182 1.15179265039892e-181 Inf C7 227
C02_B02_RT_14 278 0 0 4.05461458693398 E7 203
C02_B02_RT_16 200 6.52746540261236e-206 1.95823962078371e-205 Inf F7 199
C02_B02_RT_28 566 0 0 25.0178571428571 D7 485
C02_B02_RT_42 507 0 0 Inf F7 507
C02_B02_RT_45 36 1.18486387582144e-55 1.18486387582144e-55 Inf C8 31
C02_B02_RT_51 290 0 0 Inf B7 288
C02_B02_RT_61 661 0 0 24.7326139088729 C7 604
C02_B02_RT_82 372 1.05926410534754e-302 5.29632052673769e-302 Inf C7 371
C02_B02_RT_83 109 3.76364278811593e-226 1.50545711524637e-225 Inf C8 104
C02_B02_RT_93 1087 0 0 2.47503853907269 D7 672
C02_B03_RT_15 803 0 0 Inf F7 799
C02_B03_RT_16 625 6.16400468421651e-175 4.93120374737321e-174 Inf D7 623
C02_B03_RT_29 194 6.89833079235625e-154 4.82883155464938e-153 Inf D8 189
C02_B03_RT_30 227 5.68313411403441e-183 5.11482070263097e-182 Inf D8 222
C02_B03_RT_34 216 1.75074973385533e-57 1.75074973385533e-57 Inf D7 216
C02_B03_RT_35 479 3.35277576958003e-126 2.01166546174802e-125 Inf D7 471
C02_B03_RT_36 46 0 0 Inf C8 42
C02_B03_RT_4 894 1.02903652506671e-121 5.14518262533355e-121 1.33140200286123 D8 367
C02_B03_RT_45 504 0 0 Inf D8 504
C02_B03_RT_52 12 6.19055602478439e-104 1.85716680743532e-103 6.26229508196721 F8 8
C02_B03_RT_61 176 0 0 5.88575209528011 A7 143
C02_B03_RT_64 37 4.17725823211152e-293 4.59498405532267e-292 Inf A8 33
C02_B03_RT_65 214 0 0 3.51837372947615 B7 148
C02_B03_RT_67 76 4.67248081168089e-186 4.67248081168089e-185 Inf B8 73
C02_B03_RT_75 577 0 0 Inf E7 567
C02_B03_RT_83 798 0 0 Inf F7 790
C02_B03_RT_85 122 1.72928979658428e-313 2.07514775590114e-312 Inf B8 119
C02_B03_RT_88 386 6.67814256526043e-105 2.67125702610417e-104 Inf D7 384
C02_B03_RT_9 345 0 0 Inf F7 344
C02_B03_RT_90 245 0 0 Inf B7 238
C02_B03_RT_92 47 6.91062720828322e-86 1.38212544165664e-85 71.02 B8 40
C02_B03_RT_95 454 0 0 Inf D8 445
C02_C03_RT_14 199 7.21048528289876e-199 5.04733969802914e-198 Inf A7 197
C02_C03_RT_16 607 2.76418889047908e-316 3.5934455576228e-315 Inf D7 603
C02_C03_RT_19 468 1.01976321086184e-293 1.22371585303421e-292 Inf F7 463
C02_C03_RT_20 106 2.33775706597777e-270 2.33775706597777e-269 2.68998109640832 B8 73
C02_C03_RT_25 258 0 0 24.503355704698 E7 228
C02_C03_RT_28 35 1.31773591298299e-160 7.90641547789797e-160 Inf C8 31
C02_C03_RT_38 413 1.09051184122151e-213 8.72409472977208e-213 Inf D7 411
C02_C03_RT_41 408 0 0 Inf A7 406
C02_C03_RT_45 24 0 0 Inf F8 23
C02_C03_RT_52 436 0 0 Inf E7 432
C02_C03_RT_57 33 7.11476835383606e-100 2.13443050615082e-99 Inf E8 29
C02_C03_RT_59 580 0 0 Inf F7 575
C02_C03_RT_7 240 4.46890739837178e-141 1.78756295934871e-140 Inf F7 234
C02_C03_RT_74 174 7.56234717060615e-86 7.56234717060615e-86 Inf D7 173
C02_C03_RT_78 50 1.12485015557516e-288 1.23733517113268e-287 Inf C8 49
C02_C03_RT_86 111 0 0 Inf B7 109
C02_C03_RT_87 152 5.72393379716938e-149 2.86196689858469e-148 Inf A7 150
C02_C03_RT_88 93 1.15764046546192e-86 2.31528093092383e-86 Inf A7 91
C02_C03_RT_93 64 1.57839132608094e-222 1.42055219347285e-221 Inf B8 56
C03_B02_RT_1 88 0 0 Inf B8 82
C03_B02_RT_11 43 3.110248739354e-253 6.220497478708e-253 Inf A8 39
C03_B02_RT_13 108 0 0 Inf B7 105
C03_B02_RT_35 302 0 0 Inf C7 243
C03_B02_RT_41 289 0 0 Inf B7 288
C03_B02_RT_46 596 0 0 1.54278142352347 D7 315
C03_B02_RT_5 335 0 0 6.61560320330664 D7 289
C03_B02_RT_54 55 8.60469986838675e-13 8.60469986838675e-13 29.8396226415094 C8 48
C03_B03_RT_12 344 0 0 299.529411764706 E7 340
C03_B03_RT_13 138 9.11193042797666e-71 4.55596521398833e-70 Inf D7 134
C03_B03_RT_14 177 0 0 Inf A7 173
C03_B03_RT_16 22 1.77553009810952e-150 1.77553009810952e-149 Inf C8 22
C03_B03_RT_19 43 1.3158959918633e-48 5.2635839674532e-48 24.0860215053763 A8 38
C03_B03_RT_27 203 0 0 Inf C7 200
C03_B03_RT_3 160 2.75880492187521e-134 1.93116344531265e-133 6.26765799256505 E7 118
C03_B03_RT_38 11 5.86182572514005e-12 1.17236514502801e-11 Inf B8 11
C03_B03_RT_43 428 0 0 Inf C7 424
