SampleName Cell top_oligo Axis top_hash_umi top_to_second_best_ratio
hashPyY A04_H06_RT_48 G11 1 233 Inf
hashPyY A04_H06_RT_75 H11 1 27 Inf
hashPyY A04_H06_RT_76 G11 1 115 Inf
hashPyY A04_H06_RT_81 G11 1 42 Inf
hashPyY A04_H06_RT_82 G11 1 66 Inf
hashPyY A04_H06_RT_90 G11 1 113 Inf
hashPyY A04_H06_RT_91 H11 1 31 Inf
hashPyY A04_H06_RT_92 G11 1 91 Inf
hashPyY A05_D07_RT_19 G11 1 362 Inf
hashPyY A05_D07_RT_2 H11 1 53 Inf
hashPyY A05_D07_RT_20 G11 1 284 Inf
hashPyY A05_D07_RT_3 G11 1 593 Inf
hashPyY A05_D07_RT_4 H11 1 62 Inf
hashPyY A05_D07_RT_42 G11 1 398 Inf
hashPyY A05_D07_RT_54 G11 1 547 Inf
hashPyY A05_D07_RT_57 G11 1 444 Inf
hashPyY A05_D07_RT_58 G11 1 155 Inf
hashPyY A05_D07_RT_6 H11 1 78 Inf
hashPyY A05_D07_RT_70 G11 1 219 Inf
hashPyY A05_D07_RT_71 G11 1 187 Inf
hashPyY A05_D07_RT_75 G11 1 135 Inf
hashPyY A05_D07_RT_8 G11 1 192 Inf
hashPyY A05_D07_RT_81 G11 1 251 Inf
hashPyY A05_D07_RT_86 G11 1 386 Inf
hashPyY A05_D07_RT_88 G11 1 555 Inf
hashPyY A05_D07_RT_91 G11 1 125 Inf
hashPyY A05_H06_RT_12 G11 1 198 Inf
hashPyY A05_H06_RT_18 G11 1 355 Inf
hashPyY A05_H06_RT_23 H11 1 51 Inf
hashPyY A05_H06_RT_39 G11 1 216 Inf
hashPyY A05_H06_RT_40 G11 1 185 Inf
hashPyY A05_H06_RT_5 H11 1 49 Inf
hashPyY A05_H06_RT_50 G11 1 328 Inf
hashPyY A05_H06_RT_65 G11 1 138 Inf
hashPyY A05_H06_RT_7 G11 1 502 Inf
hashPyY A05_H06_RT_71 G11 1 203 Inf
hashPyY A05_H06_RT_83 G11 1 209 Inf
hashPyY A05_H06_RT_92 G11 1 334 Inf
hashPyY A05_H06_RT_93 G11 1 398 Inf
hashPyY A06_D07_RT_11 G11 1 374 Inf
hashPyY A06_D07_RT_12 G11 1 162 Inf
hashPyY A06_D07_RT_13 G11 1 148 Inf
hashPyY A06_D07_RT_24 G11 1 229 Inf
hashPyY A06_D07_RT_34 G11 1 300 Inf
hashPyY A06_D07_RT_37 G11 1 178 Inf
hashPyY A06_D07_RT_45 G11 1 204 Inf
hashPyY A06_D07_RT_5 G11 1 162 Inf
hashPyY A06_D07_RT_54 G11 1 214 Inf
hashPyY A06_D07_RT_59 G11 1 106 Inf
hashPyY A06_D07_RT_72 G11 1 211 Inf
hashPyY A06_D07_RT_74 G11 1 600 Inf
hashPyY A06_D07_RT_82 G11 1 139 Inf
hashPyY A06_D07_RT_83 G11 1 247 Inf
hashPyY A06_D07_RT_84 G11 1 182 Inf
hashPyY A06_D07_RT_89 G11 1 190 Inf
hashPyY A06_H06_RT_12 G11 1 186 Inf
hashPyY A06_H06_RT_20 G11 1 162 Inf
hashPyY A06_H06_RT_35 G11 1 72 Inf
hashPyY A06_H06_RT_37 G11 1 521 Inf
hashPyY A06_H06_RT_38 H11 1 26 Inf
hashPyY A06_H06_RT_39 G11 1 141 Inf
hashPyY A06_H06_RT_46 G11 1 187 Inf
hashPyY A06_H06_RT_53 G11 1 236 Inf
hashPyY A06_H06_RT_55 H11 1 44 Inf
hashPyY A06_H06_RT_62 H11 1 21 Inf
hashPyY A06_H06_RT_68 G11 1 183 Inf
hashPyY A06_H06_RT_69 H11 1 43 Inf
hashPyY A06_H06_RT_7 G11 1 155 Inf
hashPyY A06_H06_RT_71 G11 1 130 Inf
hashPyY A06_H06_RT_75 G11 1 313 Inf
hashPyY A06_H06_RT_78 H11 1 50 Inf
hashPyY A06_H06_RT_80 G11 1 167 Inf
hashPyY A06_H06_RT_84 G11 1 257 Inf
hashPyY A06_H06_RT_87 G11 1 156 Inf
hashPyY A07_D07_RT_0 H11 1 69 Inf
hashPyY A07_D07_RT_1 H11 1 74 Inf
hashPyY A07_D07_RT_13 G11 1 256 Inf
hashPyY A07_D07_RT_18 G11 1 301 Inf
hashPyY A07_D07_RT_2 G11 1 307 Inf
hashPyY A07_D07_RT_21 G11 1 429 Inf
hashPyY A07_D07_RT_23 G11 1 264 Inf
hashPyY A07_D07_RT_24 H11 1 574 Inf
hashPyY A07_D07_RT_35 G11 1 239 Inf
hashPyY A07_D07_RT_42 G11 1 183 Inf
hashPyY A07_D07_RT_50 G11 1 363 Inf
hashPyY A07_D07_RT_51 H11 1 102 Inf
hashPyY A07_D07_RT_56 G11 1 239 Inf
hashPyY A07_D07_RT_57 H11 1 133 Inf
hashPyY A07_D07_RT_60 G11 1 214 Inf
hashPyY A07_D07_RT_64 G11 1 356 Inf
hashPyY A07_D07_RT_73 G11 1 362 Inf
hashPyY A07_D07_RT_79 G11 1 269 Inf
hashPyY A07_D07_RT_82 H11 1 71 Inf
hashPyY A07_D07_RT_86 G11 1 406 Inf
hashPyY A07_D07_RT_87 G11 1 53 Inf
hashPyY A07_D07_RT_90 G11 1 221 Inf
hashPyY A07_H06_RT_12 G11 1 407 Inf
hashPyY A07_H06_RT_15 H11 1 172 Inf
hashPyY A07_H06_RT_17 G11 1 303 Inf
hashPyY A07_H06_RT_22 G11 1 370 Inf
hashPyY A07_H06_RT_25 G11 1 562 Inf
hashPyY A07_H06_RT_27 H11 1 131 Inf
hashPyY A07_H06_RT_35 G11 1 250 Inf
hashPyY A07_H06_RT_38 H11 1 83 Inf
hashPyY A07_H06_RT_40 H11 1 99 Inf
hashPyY A07_H06_RT_51 G11 1 446 Inf
hashPyY A07_H06_RT_55 G11 1 317 Inf
hashPyY A07_H06_RT_58 G11 1 51 Inf
hashPyY A07_H06_RT_61 G11 1 294 Inf
hashPyY A07_H06_RT_62 H11 1 68 Inf
hashPyY A07_H06_RT_64 G11 1 298 Inf
hashPyY A07_H06_RT_66 H11 1 114 Inf
hashPyY A07_H06_RT_67 H11 1 1011 Inf
hashPyY A07_H06_RT_71 G11 1 319 Inf
hashPyY A07_H06_RT_76 G11 1 324 Inf
hashPyY A07_H06_RT_77 H11 1 87 Inf
hashPyY A07_H06_RT_79 G11 1 792 Inf
hashPyY A07_H06_RT_82 G11 1 391 Inf
hashPyY A07_H06_RT_86 H11 1 88 Inf
hashPyY A07_H06_RT_94 G11 1 286 Inf
hashPyY A08_D07_RT_11 G11 1 210 Inf
hashPyY A08_D07_RT_12 H11 1 145 Inf
hashPyY A08_D07_RT_23 G11 1 363 Inf
hashPyY A08_D07_RT_24 G11 1 279 Inf
hashPyY A08_D07_RT_27 G11 1 299 Inf
hashPyY A08_D07_RT_31 G11 1 272 Inf
hashPyY A08_D07_RT_39 H11 1 56 Inf
hashPyY A08_D07_RT_42 H11 1 132 Inf
hashPyY A08_D07_RT_5 G11 1 261 Inf
hashPyY A08_D07_RT_54 H11 1 167 Inf
hashPyY A08_D07_RT_57 H11 1 118 Inf
hashPyY A08_D07_RT_59 H11 1 97 Inf
hashPyY A08_D07_RT_6 G11 1 480 Inf
hashPyY A08_D07_RT_60 G11 1 619 Inf
hashPyY A08_D07_RT_83 G11 1 76 Inf
hashPyY A08_D07_RT_87 H11 1 174 Inf
hashPyY A08_D07_RT_89 G11 1 330 Inf
hashPyY A08_D07_RT_91 G11 1 400 Inf
hashPyY A08_H06_RT_0 H11 1 101 Inf
hashPyY A08_H06_RT_24 G11 1 384 Inf
hashPyY A08_H06_RT_32 G11 1 336 Inf
hashPyY A08_H06_RT_38 H11 1 244 Inf
hashPyY A08_H06_RT_42 G11 1 392 Inf
hashPyY A08_H06_RT_44 G11 1 302 Inf
hashPyY A08_H06_RT_45 G11 1 386 Inf
hashPyY A08_H06_RT_47 G11 1 393 Inf
hashPyY A08_H06_RT_5 G11 1 443 Inf
hashPyY A08_H06_RT_52 G11 1 692 Inf
hashPyY A08_H06_RT_56 G11 1 180 Inf
hashPyY A08_H06_RT_60 G11 1 393 Inf
hashPyY A08_H06_RT_64 G11 1 425 Inf
hashPyY A08_H06_RT_68 H11 1 125 Inf
hashPyY A08_H06_RT_74 H11 1 148 Inf
hashPyY A08_H06_RT_76 H11 1 80 Inf
hashPyY A08_H06_RT_8 G11 1 247 Inf
hashPyY A08_H06_RT_83 H11 1 56 Inf
hashPyY A08_H06_RT_84 H11 1 212 Inf
hashPyY A08_H06_RT_85 G11 1 290 Inf
hashPyY A08_H06_RT_87 G11 1 253 Inf
hashPyY A08_H06_RT_89 H11 1 61 Inf
hashPyY A08_H06_RT_9 H11 1 85 Inf
hashPyY A09_D07_RT_18 G11 1 514 Inf
hashPyY A09_D07_RT_21 H11 1 116 Inf
hashPyY A09_D07_RT_28 H11 1 188 Inf
hashPyY A09_D07_RT_33 G11 1 230 Inf
hashPyY A09_D07_RT_34 G11 1 524 Inf
hashPyY A09_D07_RT_35 G11 1 213 Inf
hashPyY A09_D07_RT_46 G11 1 602 Inf
hashPyY A09_D07_RT_47 H11 1 94 Inf
hashPyY A09_D07_RT_50 H11 1 152 Inf
hashPyY A09_D07_RT_64 G11 1 307 Inf
hashPyY A09_D07_RT_7 H11 1 88 Inf
hashPyY A09_D07_RT_72 H11 1 127 Inf
hashPyY A09_D07_RT_73 H11 1 105 Inf
hashPyY A09_D07_RT_75 H11 1 79 Inf
hashPyY A09_D07_RT_79 H11 1 50 Inf
hashPyY A09_D07_RT_81 H11 1 91 Inf
hashPyY A09_D07_RT_82 G11 1 376 Inf
hashPyY A09_D07_RT_88 H11 1 48 Inf
hashPyY A09_D07_RT_9 G11 1 237 Inf
hashPyY A09_D07_RT_90 H11 1 98 Inf
hashPyY A09_D07_RT_91 G11 1 390 Inf
hashPyY A09_H06_RT_27 H11 1 35 Inf
hashPyY A09_H06_RT_3 G11 1 181 Inf
hashPyY A09_H06_RT_50 G11 1 173 Inf
hashPyY A09_H06_RT_52 G11 1 220 Inf
hashPyY A09_H06_RT_74 G11 1 266 Inf
hashPyY A09_H06_RT_89 G11 1 240 Inf
hashPyY A10_D07_RT_0 G11 1 492 Inf
hashPyY A10_D07_RT_11 G11 1 277 Inf
hashPyY A10_D07_RT_14 G11 1 387 Inf
hashPyY A10_D07_RT_29 G11 1 307 Inf
hashPyY A10_D07_RT_30 G11 1 298 Inf
hashPyY A10_D07_RT_40 G11 1 238 Inf
hashPyY A10_D07_RT_46 H11 1 104 Inf
hashPyY A10_D07_RT_48 G11 1 263 Inf
hashPyY A10_D07_RT_52 H11 1 152 Inf
hashPyY A10_D07_RT_54 G11 1 477 Inf
hashPyY A10_D07_RT_56 H11 1 117 Inf
hashPyY A10_D07_RT_61 G11 1 400 Inf
hashPyY A10_D07_RT_63 G11 1 276 Inf
